COUNTRY_NAME,COUNTRY,VENDOR_ID,BDR_ID,DELIVERY_CENTER_ID,SECTOR_ID,SEGMENT_BDR,TIME_LIMIT,AVAILABLE_TIME_DENOMINATOR,AVAILABLE_TIME_LIMIT_COUNTRY_NO_SEGMENT_BDR,IDEAL_TIME_LIMIT,IDEAL_TIME_LIMIT_NO_SEGMENT_BDR,MONTH_YEAR
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136928010031,1369280001,null,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136133020025,1361330001,null,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR114867010013,1148670001,null,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090266010019,0902660001,null,AUTOSERVICIOS,40,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135949010072,1359490001,null,AUTOSERVICIOS,40,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR125253010022,12525301,91,AUTOSERVICIOS,40,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR459025010106,45902501,802,KT / CONJUNTA,15,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR445625010022,4456250001,null,KT / CONJUNTA,15,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR125253010018,12525301,91,KT / CONJUNTA,15,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR441227010014,44122701,911,KT / CONJUNTA,15,250,19,null,null,2023-07-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR100557010015,1005570001,null,AUTOSERVICIOS,40,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR128821,-,930,KT / CONJUNTA,15,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR462315040816,4623150010,null,KT / CONJUNTA,15,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR145048010002,14504801,911,KT / CONJUNTA,15,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR114867010115,11486701,120,KT / CONJUNTA,15,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR364224010002,36422401,120,KT / CONJUNTA,15,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR179795010010,17979501,120,KT / CONJUNTA,15,250,19,null,null,2023-08-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR110318,-,302,AUTOSERVICIOS,40,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR322126010017,32212601,91,KT / CONJUNTA,15,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135901010068,13590101,60,KT / CONJUNTA,15,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135920010011,13592001,95,KT / CONJUNTA,15,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090356010023,09035601,60,KT / CONJUNTA,15,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR145048020021,1450480003,null,KT / CONJUNTA,15,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR070549010012,0705490001,null,KT / CONJUNTA,15,250,19,null,null,2023-09-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR102047,241,null,AUTOSERVICIOS,40,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR174738010028,1747380001,null,AUTOSERVICIOS,40,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR606060010010,60606001,941,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR445625010014,4456250002,null,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136132010024,1361320001,null,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135905010024,13590501,90,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR119567010027,1195670001,null,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR646475010031,64647501,911,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR070549010202,0705490013,null,KT / CONJUNTA,15,250,19,null,null,2023-10-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR102308,212,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR116950,-,901,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR070425010005,0704250001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR120018010004,1200180001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135901010077,1359010001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR322126010002,32212601,91,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090051010022,0900510001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090051010025,0900510001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR100557010001,1005570001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR453812010012,4538120001,null,KT / CONJUNTA,15,250,19,null,null,2023-11-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135920010024,13592001,95,AUTOSERVICIOS,40,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR053822010032,05382201,802,KT / CONJUNTA,15,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136096010104,13609601,95,KT / CONJUNTA,15,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136096010105,13609601,95,KT / CONJUNTA,15,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR441227010013,44122701,911,KT / CONJUNTA,15,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR377026010003,37702601,53,KT / CONJUNTA,15,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR090051010036,09005101,911,KT / CONJUNTA,15,250,19,null,null,2023-12-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR109474,-,800,KT / CONJUNTA,15,250,19,null,null,2024-01-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR111921,-,930,KT / CONJUNTA,15,250,19,null,null,2024-01-01
